,index,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,CON.DE,1COV.DE,DAI.DE,DBK.DE,DB1.DE,LHA.DE,DPW.DE,DTE.DE,EOAN.DE,FRE.DE,FME.DE,HEI.DE,HEN3.DE,IFX.DE,LIN.DE,MRK.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,TKA.DE,VOW3.DE,VNA.DE,WDI.DE
0,0,32.72758102416992,53.25304794311523,31.08047294616699,42.22406768798828,40.05778121948242,22.94292449951172,30.57787895202637,23.69855690002441,24.681903839111328,32.05569076538086,41.74385833740234,9.71198272705078,9.6026029586792,5.608603477478027,9.416000366210938,14.73330020904541,32.590866088867195,41.3652572631836,31.409969329833984,3.582700490951538,58.33580780029297,25.58759307861328,67.28545379638672,45.69815444946289,28.324575424194336,44.882511138916016,24.74296569824219,51.23906326293945,12.071588516235352,145.0126495361328
1,1,33.760276794433594,53.41543197631836,30.609235763549805,41.4528923034668,39.84647750854492,23.129045486450195,32.49078750610352,23.60912704467773,24.47814178466797,32.57297134399414,41.65843200683594,9.830770492553713,9.616342544555664,5.56098222732544,9.45300006866455,14.395000457763672,31.58343505859375,41.66012954711914,30.858173370361328,3.6996793746948238,56.97690963745117,25.399248123168945,67.40970611572266,45.4066047668457,28.07090950012207,44.909889221191406,25.07714462280273,50.246070861816406,12.105965614318848,144.96270751953125
2,2,33.488296508789055,53.83044052124024,30.803281784057614,41.19089126586914,39.81628799438477,23.486968994140625,32.70328140258789,23.23352813720703,24.48471069335937,32.232315063476555,41.14589309692383,9.953656196594238,9.722806930541992,5.42341423034668,9.593000411987305,14.31999969482422,31.518857955932614,42.12348937988281,31.129825592041016,3.6499202251434326,57.951454162597656,25.383554458618164,66.97480010986328,45.3204345703125,28.569643020629886,45.07443618774414,24.955217361450195,51.63632202148438,12.40863037109375,148.60800170898438
3,3,33.781532287597656,53.21094131469727,30.598846435546875,40.65189743041992,39.41522979736328,23.694561004638672,36.89394760131836,23.430273056030273,24.136341094970703,32.377429962158196,40.41978454589844,10.088830947875977,9.702199935913086,5.320236682891847,9.755000114440918,14.300000190734865,31.32080841064453,42.60369491577149,30.654428482055664,3.58968448638916,57.594581604003906,25.917198181152344,67.130126953125,45.12828063964844,29.32633781433105,45.60919952392578,24.88296127319336,52.23212432861328,12.381062507629395,144.8628387451172
4,4,33.65828323364258,52.9222412109375,30.505290985107425,40.292518615722656,38.27676010131836,23.37601089477539,37.57571411132813,23.25141525268555,24.27766418457031,33.55694961547852,39.75774765014648,10.383753776550293,9.932307243347168,5.349337577819824,9.925000190734863,14.0,31.105546951293945,43.09232711791992,30.33184051513672,3.6490464210510254,57.0318489074707,25.65429496765137,67.00586700439453,45.0620002746582,29.53271293640137,45.89706420898438,25.352619171142575,52.79609680175781,12.484275817871096,146.36090087890625
5,5,33.87076950073242,52.32678604125977,30.165735244750977,40.285064697265625,38.99261093139648,23.02882194519043,35.73097610473633,22.98312950134277,24.45185089111328,33.153270721435554,40.04961013793945,10.494348526000977,9.877355575561523,5.386375427246094,9.876999855041504,14.01669979095459,31.56190299987793,43.3871955871582,30.20450782775879,3.5442898273468018,57.36124038696289,25.744548797607425,67.25438690185547,45.59217071533203,29.81647300720215,46.013648986816406,24.747478485107425,53.18538284301758,12.449899673461914,149.45689392089844
6,6,32.80408096313477,52.1042594909668,29.09160041809082,39.90324401855469,37.73772048950195,22.359506607055664,33.87653350830078,22.576231002807614,23.84712219238281,32.295413970947266,39.15266418457031,10.191232681274414,9.65068531036377,5.344045162200928,9.934000015258787,13.933300018310547,31.42844200134277,42.199310302734375,30.56105232238769,3.478816270828247,56.86713027954102,25.4934196472168,67.44077301025389,45.12828063964844,29.52841567993164,45.45151138305664,24.15137481689453,51.79521179199219,12.518653869628904,147.05999755859375
7,7,32.387603759765625,52.1944694519043,29.36533546447754,40.63690948486328,37.65146255493164,22.495519638061523,35.000362396240234,22.535985946655273,23.78468132019043,31.75295639038086,39.20248794555664,10.195331573486328,9.7811918258667,5.37579345703125,9.946999549865724,14.39330005645752,31.772859573364254,42.89013671875,31.03645133972168,3.5888113975524902,57.72497177124024,25.50519371032715,67.50289916992189,45.02888488769531,29.83367156982422,45.86282730102539,24.503618240356445,50.44466781616211,12.518653869628904,150.70529174804688
8,8,33.042064666748054,51.64714050292969,29.42423439025879,41.01872634887695,37.754966735839844,22.82838630676269,34.82619094848633,22.535985946655273,24.3861141204834,31.76554679870605,38.61165237426758,10.297733306884766,9.654119491577148,5.381084442138672,9.9350004196167,14.66670036315918,32.11298370361328,43.30294418334961,31.66464614868164,3.633333683013916,58.0887565612793,25.61113166809082,67.06800079345703,45.50600051879883,30.396892547607425,46.06847381591797,24.58942413330078,50.44466781616211,12.518653869628904,149.2571563720703
9,9,33.076065063476555,50.98554229736328,28.804012298583984,39.78341674804688,36.806236267089844,22.642269134521484,33.747974395751946,21.90998649597168,23.98515892028809,30.59235954284668,38.0777473449707,10.42061996459961,9.4240140914917,5.3096537590026855,9.899999618530273,14.895000457763672,31.798694610595703,42.12348937988281,31.61371612548828,3.5320677757263184,57.11419296264648,26.011369705200195,65.94967651367189,45.14151382446289,29.322036743164066,45.5406494140625,24.074602127075195,48.82408905029297,12.449899673461914,151.1047821044922
